,daily.returns,daily.returns O,1+r,1+r O,cumulative returns,cumulative returns O,,
1,0.006491669,0.007020927,1.006491669,1.007020927,1%,1%,,
2,0.005867288,0.005836538,1.005867288,1.005836538,1%,1%,,
3,-0.009354641,-0.011137547,0.990645359,0.988862453,0%,0%,,
4,-0.000649921,-0.000764558,0.999350079,0.999235442,0%,0%,,
5,-0.007095381,-0.001668639,0.992904619,0.998331361,0%,0%,,
6,0.007331672,0.007244966,1.007331672,1.007244966,0%,1%,,
7,0.01254608,0.010450321,1.01254608,1.010450321,2%,2%,,
8,0.012008096,0.011851786,1.012008096,1.011851786,3%,3%,,
9,-0.000343274,-0.000985363,0.999656726,0.999014637,3%,3%,,
10,0.002433485,0.002303816,1.002433485,1.002303816,3%,3%,,
11,-0.001586242,-0.003626278,0.998413758,0.996373722,3%,3%,,
12,0.005406042,0.005407206,1.005406042,1.005407206,3%,3%,,
13,-0.013150322,-0.006823079,0.986849678,0.993176921,2%,3%,,
14,-0.006243935,-0.006269754,0.993756065,0.993730246,1%,2%,,
15,-0.003018108,-0.004360899,0.996981892,0.995639101,1%,1%,,
16,0.014675287,0.014145536,1.014675287,1.014145536,3%,3%,,
17,0.000865758,0.001487584,1.000865758,1.001487584,3%,3%,,
18,-0.004430041,-0.00440994,0.995569959,0.99559006,2%,3%,,
19,0.003524872,0.005401823,1.003524872,1.005401823,3%,3%,,
20,0.002350247,0.002378013,1.002350247,1.002378013,3%,3%,,
21,-0.007603876,-0.004655904,0.992396124,0.995344096,2%,3%,,
22,-0.017077247,-0.016890987,0.982922753,0.983109013,0%,1%,,
23,-0.002605372,-0.022758917,0.997394628,0.977241083,0%,-1%,,
24,0.013414457,0.012683657,1.013414457,1.012683657,1%,0%,,
25,0.003065738,0.002470358,1.003065738,1.002470358,2%,0%,,
26,0.004993448,0.00510687,1.004993448,1.00510687,2%,1%,,
27,-0.002067639,-0.00040369,0.997932361,0.99959631,2%,1%,,
28,-0.006542845,-0.006171589,0.993457155,0.993828411,1%,0%,,
29,0.013263972,0.020878977,1.013263972,1.020878977,3%,2%,,
30,-0.001996613,-0.00209852,0.998003387,0.99790148,2%,2%,,
31,0.001710765,0.003151616,1.001710765,1.003151616,3%,2%,,
32,-0.005413061,-0.005431617,0.994586939,0.994568383,2%,2%,,
33,-0.010371182,-0.002469249,0.989628818,0.997530751,1%,2%,,
34,-3.11E-05,5.64E-05,0.999968945,1.000056422,1%,2%,,
35,0.002241489,0.001048337,1.002241489,1.001048337,1%,2%,,
36,-0.021095171,-0.020974021,0.978904829,0.979025979,-1%,0%,,
37,-0.015594053,-0.015466397,0.984405947,0.984533603,-3%,-2%,,
38,-0.004237687,-0.004305587,0.995762313,0.995694413,-3%,-2%,,
39,-0.018166614,-0.023204461,0.981833386,0.976795539,-5%,-5%,,
40,0.008703332,0.008588629,1.008703332,1.008588629,-4%,-4%,,
41,-0.016275192,-0.014793646,0.983724808,0.985206354,-5%,-5%,,
42,-0.005602796,-0.005644795,0.994397204,0.994355205,-6%,-6%,,
43,0.027118672,0.03719776,1.027118672,1.03719776,-3%,-2%,,
44,0.011773485,0.011464201,1.011773485,1.011464201,-2%,-1%,,
45,-0.001303266,0.00276223,0.998696734,1.00276223,-2%,-1%,,
46,-0.014810535,-0.014701947,0.985189465,0.985298053,-4%,-2%,,
47,-0.017756999,-0.016292255,0.982243001,0.983707745,-6%,-4%,,
48,-0.002538595,-0.002078253,0.997461405,0.997921747,-6%,-4%,,
49,-0.062700396,-0.050994526,0.937299604,0.949005474,-12%,-9%,,
50,0.008463841,0.009466566,1.008463841,1.009466566,-11%,-8%,,
51,-0.027487622,-0.031113606,0.972512378,0.968886394,-13%,-11%,,
52,0.004514904,0.004500879,1.004514904,1.004500879,-13%,-11%,,
53,-0.016281878,-0.015404538,0.983718122,0.984595462,-14%,-12%,,
54,-0.018076777,-0.017428511,0.981923223,0.982571489,-16%,-14%,,
55,0.036257197,0.030273161,1.036257197,1.030273161,-13%,-11%,,
56,-0.092042845,-0.089823985,0.907957155,0.910176015,-21%,-19%,,
57,0.022342479,0.028990301,1.022342479,1.028990301,-19%,-17%,,
58,0.030984783,0.029883974,1.030984783,1.029883974,-17%,-14%,,
59,0.012058968,0.000468345,1.012058968,1.000468345,-16%,-14%,,
60,-0.018457102,-0.018304352,0.981542898,0.981695648,-17%,-16%,,
61,-0.014573579,-0.01752537,0.985426421,0.98247463,-18%,-17%,,
62,0.043757097,0.043229016,1.043757097,1.043229016,-15%,-14%,,
63,-0.01805788,-0.023643976,0.98194212,0.976356024,-16%,-16%,,
64,0.053047099,0.052048498,1.053047099,1.052048498,-12%,-11%,,
65,0.068876021,0.0661201,1.068876021,1.0661201,-6%,-5%,,
66,0.008712608,0.008694262,1.008712608,1.008694262,-5%,-4%,,
67,0.004031862,0.017451472,1.004031862,1.017451472,-5%,-3%,,
68,-0.008024243,-0.008145849,0.991975757,0.991854151,-5%,-4%,,
69,-0.004851474,-0.00041031,0.995148526,0.99958969,-6%,-4%,,
70,6.77E-07,0.000524402,1.000000677,1.000524402,-6%,-4%,,
71,-0.004226517,-0.00233508,0.995773483,0.99766492,-6%,-4%,,
72,0.010838243,0.010293334,1.010838243,1.010293334,-5%,-3%,,
73,-0.024143685,-0.022662116,0.975856315,0.977337884,-8%,-5%,,
74,0.007978387,0.007726069,1.007978387,1.007726069,-7%,-4%,,
75,-0.005475266,-0.001088915,0.994524734,0.998911085,-7%,-4%,,
76,-0.005771217,-0.005733329,0.994228783,0.994266671,-8%,-5%,,
77,0.002782165,0.001731269,1.002782165,1.001731269,-8%,-5%,,
78,0.019320196,0.017999865,1.019320196,1.017999865,-6%,-3%,,
79,0.00624175,0.008048936,1.00624175,1.008048936,-5%,-2%,,
80,0.001660142,0.001472851,1.001660142,1.001472851,-5%,-2%,,
81,-0.052206572,-0.066256804,0.947793428,0.933743196,-10%,-9%,,
82,-0.013747889,-0.013516629,0.986252111,0.986483371,-11%,-10%,,
83,-0.012816553,-0.014476089,0.987183447,0.985523911,-12%,-11%,,
84,-0.00923649,-0.009082552,0.99076351,0.990917448,-13%,-12%,,
85,0.010068506,0.010855851,1.010068506,1.010855851,-12%,-11%,,
86,0.001435396,0.001389878,1.001435396,1.001389878,-12%,-11%,,
87,-0.010916658,-0.006845895,0.989083342,0.993154105,-13%,-12%,,
88,-0.001839239,-0.00174593,0.998160761,0.99825407,-13%,-12%,,
89,-0.005777548,-0.007785053,0.994222452,0.992214947,-14%,-12%,,
90,0.000947221,0.000792511,1.000947221,1.000792511,-14%,-12%,,
91,-0.028485336,-0.032267542,0.971514664,0.967732458,-16%,-15%,,
92,-0.000230871,-0.000331569,0.999769129,0.999668431,-16%,-15%,,
93,0.016917911,0.010884781,1.016917911,1.010884781,-15%,-14%,,
94,0.003789659,0.003917941,1.003789659,1.003917941,-15%,-14%,,
95,0.007159526,0.008662681,1.007159526,1.008662681,-14%,-13%,,
96,-0.000782804,-0.000791793,0.999217196,0.999208207,-14%,-13%,,
97,-0.001520879,0.000859192,0.998479121,1.000859192,-14%,-13%,,
98,0.006200889,0.006158837,1.006200889,1.006158837,-14%,-13%,,
99,0.024365534,0.039506822,1.024365534,1.039506822,-11%,-9%,,
100,0.009423712,0.009304215,1.009423712,1.009304215,-11%,-8%,,
101,0.000114196,-0.003136723,1.000114196,0.996863277,-11%,-9%,,
102,0.006527369,0.006472275,1.006527369,1.006472275,-10%,-8%,,
103,0.004664041,0.009072389,1.004664041,1.009072389,-10%,-7%,,
104,0.010090626,0.009688462,1.010090626,1.009688462,-9%,-6%,,
105,0.010320154,0.008116184,1.010320154,1.008116184,-8%,-5%,,
106,-0.005143081,-0.004968643,0.994856919,0.995031357,-8%,-6%,,
107,0.001236647,-0.001573835,1.001236647,0.998426165,-8%,-6%,,
108,-0.021240841,-0.020534634,0.978759159,0.979465366,-10%,-8%,,
109,0.003795931,0.002355449,1.003795931,1.002355449,-10%,-8%,,
110,-0.006568989,-0.006431823,0.993431011,0.993568177,-10%,-8%,,
111,-0.010885009,-0.011085243,0.989114991,0.988914757,-11%,-9%,,
112,0.001766554,0.001756447,1.001766554,1.001756447,-11%,-9%,,
113,-0.001115633,-0.002302928,0.998884367,0.997697072,-11%,-9%,,
114,0.004635469,0.00457155,1.004635469,1.00457155,-11%,-9%,,
115,0.015747337,0.019141942,1.015747337,1.019141942,-9%,-7%,,
116,0.019345802,0.019050115,1.019345802,1.019050115,-8%,-6%,,
117,-0.017414004,-0.011900415,0.982585996,0.988099585,-9%,-7%,,
118,-0.001272208,-0.001378364,0.998727792,0.998621636,-9%,-7%,,
119,0.003520675,0.00978801,1.003520675,1.00978801,-9%,-6%,,
120,0.002325784,0.002517317,1.002325784,1.002517317,-9%,-6%,,
121,-0.019206609,-0.01971964,0.980793391,0.98028036,-11%,-8%,,
122,-0.002166944,-0.002145551,0.997833056,0.997854449,-11%,-8%,,
123,0.010386596,0.016070985,1.010386596,1.016070985,-10%,-6%,,
124,0.009750267,0.009733229,1.009750267,1.009733229,-9%,-5%,,
125,-0.000676476,-0.003016531,0.999323524,0.996983469,-9%,-6%,,
126,-0.004672333,-0.00470468,0.995327667,0.99529532,-9%,-6%,,
127,0.008376581,0.008904769,1.008376581,1.008904769,-9%,-5%,,
128,-0.006820493,-0.006734174,0.993179507,0.993265826,-9%,-6%,,
129,0.008592626,0.008160103,1.008592626,1.008160103,-9%,-5%,,
130,0.010304141,0.010168521,1.010304141,1.010168521,-8%,-4%,,
131,-0.012197354,-0.013339975,0.987802646,0.986660025,-9%,-5%,,
132,0.004531761,0.004520152,1.004531761,1.004520152,-8%,-5%,,
133,0.000753128,0.003841107,1.000753128,1.003841107,-8%,-5%,,
134,0.012212528,0.012119688,1.012212528,1.012119688,-7%,-3%,,
135,-0.006303458,-0.008911416,0.993696542,0.991088584,-8%,-4%,,
136,0.007916834,0.007475664,1.007916834,1.007475664,-7%,-4%,,
137,-0.007202775,-0.005763223,0.992797225,0.994236777,-8%,-4%,,
138,0.003033984,0.003196066,1.003033984,1.003196066,-7%,-4%,,
139,-0.00146621,1.18E-05,0.99853379,1.000011773,-8%,-4%,,
140,-0.000944966,-0.000830595,0.999055034,0.999169405,-8%,-4%,,
141,0.001834047,-0.000144665,1.001834047,0.999855335,-7%,-4%,,
142,0.002097236,0.002150577,1.002097236,1.002150577,-7%,-4%,,
143,-0.008454645,-0.006606051,0.991545355,0.993393949,-8%,-4%,,
144,0.011284188,0.010856695,1.011284188,1.010856695,-7%,-3%,,
145,-0.021190987,-0.019957389,0.978809013,0.980042611,-9%,-5%,,
146,0.026504962,0.025704943,1.026504962,1.025704943,-7%,-3%,,
147,-0.005673885,-0.003719649,0.994326115,0.996280351,-7%,-3%,,
148,0.0080521,0.007928135,1.0080521,1.007928135,-6%,-2%,,
149,-0.014447482,-0.016803555,0.985552518,0.983196445,-8%,-4%,,
150,0.01234204,0.012264931,1.01234204,1.012264931,-7%,-3%,,
151,-0.000885991,-0.001845608,0.999114009,0.998154392,-7%,-3%,,
152,-0.008950262,-0.008650887,0.991049738,0.991349113,-7%,-4%,,
153,-0.00148392,0.000388275,0.99851608,1.000388275,-8%,-4%,,
154,-0.005437994,-0.005240636,0.994562006,0.994759364,-8%,-4%,,
155,0.009774084,0.011432146,1.009774084,1.011432146,-7%,-3%,,
156,0.001107022,0.00120009,1.001107022,1.00120009,-7%,-3%,,
157,8.36E-06,-0.002383003,1.000008361,0.997616997,-7%,-3%,,
158,0.001877214,0.001854862,1.001877214,1.001854862,-7%,-3%,,
159,0.008279241,0.008886251,1.008279241,1.008886251,-6%,-2%,,
160,0.000755282,0.000793727,1.000755282,1.000793727,-6%,-2%,,
161,-0.005957262,-0.004905166,0.994042738,0.995094834,-7%,-3%,,
162,-0.001603324,-0.001581685,0.998396676,0.998418315,-7%,-3%,,
163,0.000591351,0.002103811,1.000591351,1.002103811,-7%,-3%,,
164,0.005360453,0.004867691,1.005360453,1.004867691,-6%,-2%,,
165,-0.036124931,-0.032437516,0.963875069,0.967562484,-10%,-5%,,
166,0.0046801,0.004443807,1.0046801,1.004443807,-9%,-5%,,
167,-0.002544132,-0.003262591,0.997455868,0.996737409,-9%,-5%,,
168,0.002485018,0.002351087,1.002485018,1.002351087,-9%,-5%,,
169,-0.013028985,-0.011338941,0.986971015,0.988661059,-10%,-6%,,
170,0.008271699,0.007934575,1.008271699,1.007934575,-10%,-5%,,
171,-0.011625051,-0.014461707,0.988374949,0.985538293,-11%,-7%,,
172,-0.006225866,-0.00610043,0.993774134,0.99389957,-11%,-7%,,
173,0.010807883,0.007747512,1.010807883,1.007747512,-10%,-7%,,
174,0.000363183,0.000247468,1.000363183,1.000247468,-10%,-7%,,
175,-0.00874824,-0.01080201,0.99125176,0.98919799,-11%,-8%,,
176,0.007682828,0.007524517,1.007682828,1.007524517,-10%,-7%,,
177,0.007881982,0.004362617,1.007881982,1.004362617,-10%,-6%,,
178,-0.005721898,-0.005727926,0.994278102,0.994272074,-10%,-7%,,
179,0.024837346,0.014968788,1.024837346,1.014968788,-8%,-6%,,
180,-0.038651831,-0.037905271,0.961348169,0.962094729,-12%,-9%,,
181,-0.008248762,-0.011084115,0.991751238,0.988915885,-12%,-10%,,
182,0.001859509,0.001614583,1.001859509,1.001614583,-12%,-10%,,
183,-0.037410754,-0.041403509,0.962589246,0.958596491,-15%,-14%,,
184,0.016275271,0.015886066,1.016275271,1.015886066,-14%,-12%,,
185,0.018667142,0.012718108,1.018667142,1.012718108,-12%,-11%,,
186,-0.013138789,-0.012802539,0.986861211,0.987197461,-14%,-12%,,
187,-0.004913154,-0.008247491,0.995086846,0.991752509,-14%,-13%,,
188,0.012415123,0.012262203,1.012415123,1.012262203,-13%,-12%,,
189,0.027925806,0.029998905,1.027925806,1.029998905,-10%,-9%,,
190,-0.006542905,-0.006339363,0.993457095,0.993660637,-11%,-10%,,
191,-0.010818166,-0.010681298,0.989181834,0.989318702,-12%,-11%,,
192,0.009770774,0.009481848,1.009770774,1.009481848,-11%,-10%,,
193,-0.006259357,-0.007625596,0.993740643,0.992374404,-12%,-11%,,
194,-0.003859159,-0.003802262,0.996140841,0.996197738,-12%,-11%,,
195,-0.004123672,-0.005673436,0.995876328,0.994326564,-12%,-12%,,
196,-0.004188856,-0.003974595,0.995811144,0.996025405,-13%,-12%,,
197,-0.007437382,-0.005360593,0.992562618,0.994639407,-13%,-13%,,
198,-0.001870304,-0.001928163,0.998129696,0.998071837,-14%,-13%,,
199,0.00979367,0.012352388,1.00979367,1.012352388,-13%,-12%,,
200,-0.003523455,-0.003347132,0.996476545,0.996652868,-13%,-12%,,
201,0.004359988,0.001599934,1.004359988,1.001599934,-13%,-12%,,
202,0.011035708,0.010735113,1.011035708,1.010735113,-12%,-11%,,
203,-0.004959492,-0.001640425,0.995040508,0.998359575,-12%,-11%,,
204,-0.006028376,-0.005804809,0.993971624,0.994195191,-13%,-11%,,
205,0.000900355,0.003344511,1.000900355,1.003344511,-13%,-11%,,
206,-0.005237017,-0.005190089,0.994762983,0.994809911,-13%,-12%,,
207,-0.007262377,-0.006056229,0.992737623,0.993943771,-14%,-12%,,
208,0.006783187,0.006445926,1.006783187,1.006445926,-13%,-12%,,
209,-0.012836978,-0.016807176,0.987163022,0.983192824,-14%,-13%,,
210,0.008333735,0.008326456,1.008333735,1.008326456,-14%,-12%,,
211,0.008503908,0.014156643,1.008503908,1.014156643,-13%,-11%,,
212,0.020213681,0.01981573,1.020213681,1.01981573,-11%,-9%,,
213,-0.001773469,-0.00221676,0.998226531,0.99778324,-11%,-10%,,
214,0.00942612,0.009195381,1.00942612,1.009195381,-10%,-9%,,
215,-0.001858302,-0.001026858,0.998141698,0.998973142,-10%,-9%,,
216,0.009937469,0.009541159,1.009937469,1.009541159,-10%,-8%,,
217,0.012912985,0.017140498,1.012912985,1.017140498,-8%,-6%,,
218,-0.003108604,-0.003061507,0.996891396,0.996938493,-9%,-7%,,
219,0.008234097,0.009444901,1.008234097,1.009444901,-8%,-6%,,
220,-0.008765702,-0.008708471,0.991234298,0.991291529,-9%,-7%,,
221,-0.0065118,-0.005457571,0.9934882,0.994542429,-9%,-7%,,
222,-0.005785272,-0.005616951,0.994214728,0.994383049,-10%,-8%,,
223,0.011422322,0.015377265,1.011422322,1.015377265,-9%,-6%,,
224,0.005969362,0.005865629,1.005969362,1.005865629,-8%,-6%,,
225,-0.012659615,-0.011710679,0.987340385,0.988289321,-9%,-7%,,
226,0.005121351,0.005002688,1.005121351,1.005002688,-9%,-6%,,
227,-0.004347842,-0.0053519,0.995652158,0.9946481,-9%,-7%,,
228,0.018340374,0.017641267,1.018340374,1.017641267,-8%,-5%,,
229,0.0128268,0.009634985,1.0128268,1.009634985,-7%,-4%,,
230,0.013224257,0.012926689,1.013224257,1.012926689,-5%,-3%,,
231,0.022461414,0.022558555,1.022461414,1.022558555,-3%,-1%,,
232,0.022797904,0.022423188,1.022797904,1.022423188,-1%,1%,,
233,-0.012338319,-0.01121427,0.987661681,0.98878573,-2%,0%,,
234,0.012021874,0.011877094,1.012021874,1.011877094,-1%,1%,,
235,-0.004876917,-0.008369676,0.995123083,0.991630324,-2%,1%,,
236,0.009469898,0.009271744,1.009469898,1.009271744,-1%,2%,,
237,0.012683879,0.00920999,1.012683879,1.00920999,1%,2%,,
238,-0.013608093,-0.013237081,0.986391907,0.986762919,-1%,1%,,
239,0.008106365,0.008870371,1.008106365,1.008870371,0%,2%,,
240,-0.001653728,-0.001462326,0.998346272,0.998537674,0%,2%,,
241,0.001611016,0.004412946,1.001611016,1.004412946,0%,2%,,
242,-0.040695363,-0.040215059,0.959304637,0.959784941,-4%,-2%,,
243,0.012480544,0.016753924,1.012480544,1.016753924,-3%,0%,,
244,0.014970999,0.014835615,1.014970999,1.014835615,-1%,1%,,
245,0.01568335,0.011490037,1.01568335,1.011490037,0%,2%,,
